pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,11461.54612742,51925.2360223,1.12679,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,10171.86,8063.49,0.001,0.001,250560,0.06863006754526904,3567.19608797,mv2:exit,50.05,-0.99,107.63,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4
BTC/USDT,9739.964901,9739.964901,1.05818,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,9204.45,7154.75,0.001,0.001,41760,-0.22423884151676432,-2186.26252426,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2
BTC/USDT,6309.2868425,9351.136767,0.72247,2020-01-17 00:00:00+00:00,2020-02-28 00:00:00+00:00,8732.94,8823.25,0.001,0.001,60480,0.03369272375354275,315.38033313999995,mv2:exit,87.21,-0.99,87.33,-0.99,8238.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1582848000000,0.0,4
BTC/USDT,9322.24340364,10922.5292153,1.04691,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8904.53,10138.29,0.001,0.001,180000,0.12446553800199979,1360.8379536,mv2:exit,88.26,-0.99,89.05,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4
BTC/USDT,10462.3395,10462.3395,0.87845,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.07096675364913459,743.22074816,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3
BTC/USDT,11057.881426,11057.881426,0.85265,2020-10-23 00:00:00+00:00,2020-10-30 00:00:00+00:00,12968.84,13455.69,0.001,0.001,10080,0.035466973491906514,392.581777,mv2:exit,129.69,-0.99,129.69,-0.99,12720.08,13859.48,False,mv2:enter,1.0,False,1603411200000,1604016000000,0.0,4
BTC/USDT,11225.8531026,11225.8531026,0.79842,2020-11-04 00:00:00+00:00,2020-11-06 00:00:00+00:00,14060.09,15590.02,0.001,0.001,2880,0.10659864842563116,1197.85742893,mv2:exit,140.24,-0.99,140.61,-0.99,13525.0,15960.0,False,mv2:enter,1.0,False,1604448000000,1604620800000,0.0,4
BTC/USDT,12861.1375377,12861.1375377,0.8281,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15530.9,35410.37,0.001,0.001,95040,1.2754394192965712,16420.00539437,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1
BTC/USDT,26577.7450155,26577.7450155,0.78057,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210334454,-2546.26706405,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,24467.0225,24467.0225,0.74255,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189346413,261.27499444,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4
