pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,11861.11767617,55575.5881654,1.16357,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,10193.73,8063.49,0.001,0.001,250560,0.0670913836389193,3732.3717496699983,mv2:exit,50.05,-0.99,108.08,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4
BTC/USDT,10542.4281551,10542.4281551,1.16725,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,9031.85,7154.75,0.001,0.001,41760,-0.20941402330796005,-2209.94002769,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2
BTC/USDT,5711.69478092,10608.1128046,0.66493,2020-01-17 00:00:00+00:00,2020-03-11 00:00:00+00:00,8589.92,7894.57,0.001,0.001,77760,-0.02002412969922658,-212.63064488999993,mv2:exit,87.21,-0.99,87.34,-0.99,7590.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1583884800000,0.0,2
BTC/USDT,9079.59633509,10737.4891824,1.01837,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8915.81,10138.29,0.001,0.001,180000,0.12258290428815687,1317.5488413500002,mv2:exit,88.26,-0.99,89.17,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4
BTC/USDT,10117.9023,10117.9023,0.84953,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.07096675364912645,718.75271465,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3
BTC/USDT,10658.7086166,14690.3319074,0.79861,2020-10-23 00:00:00+00:00,2020-11-06 00:00:00+00:00,13346.58,15590.02,0.001,0.001,20160,0.13264398125261653,1950.53269423,mv2:exit,129.69,-0.99,133.47,-0.99,12720.08,15960.0,False,mv2:enter,1.0,False,1603411200000,1604620800000,0.0,4
BTC/USDT,12119.7833463,12119.7833463,0.77791,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15579.93,35410.37,0.001,0.001,95040,1.2682784845627588,15386.63171613,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1
BTC/USDT,25682.592862,25682.592862,0.75428,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210336813,-2460.50747668,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,23633.058,23633.058,0.71724,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189522512,252.36937178,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,23792.150816,23792.150816,0.6944,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.35079682236562465,8354.5571144,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1
