pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday
BTC/USDT,9237.68923186,25259.0162934,0.9378,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,9850.38,8063.49,0.001,0.001,250560,0.11143400391467123,2817.52803384,mv2:exit,50.05,-0.99,100.24,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4
BTC/USDT,8511.407856,10030.4182395,0.9359,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,9094.36,7154.75,0.001,0.001,41760,-0.18217112019193352,-1829.07977921,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2
BTC/USDT,6537.04767692,9394.7193602,0.75596,2020-01-17 00:00:00+00:00,2020-03-11 00:00:00+00:00,8647.35,7894.57,0.001,0.001,77760,-0.05318982873008627,-500.20321724999997,mv2:exit,87.21,-0.99,87.43,-0.99,7590.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1583884800000,0.0,2
BTC/USDT,7977.9503459,7977.9503459,0.90765,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8789.68,10138.29,0.001,0.001,180000,0.15112690204185097,1206.88860334,mv2:exit,88.26,-0.99,88.26,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4
BTC/USDT,9202.2615,9202.2615,0.77265,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.0709667536491019,653.70767951,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3
BTC/USDT,9284.2981265,11378.8954749,0.70525,2020-10-23 00:00:00+00:00,2020-11-06 00:00:00+00:00,13164.55,15590.02,0.001,0.001,20160,0.15925762151858458,1813.98800467,mv2:exit,129.69,-0.99,131.65,-0.99,12720.08,15960.0,False,mv2:enter,1.0,False,1603411200000,1604620800000,0.0,4
BTC/USDT,11634.209548,11634.209548,0.7504,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15504.01,35410.37,0.001,0.001,95040,1.2793856983649807,14899.5259488,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1
BTC/USDT,24007.0341905,24007.0341905,0.70507,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.09570877210334536,-2299.98144798,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4
BTC/USDT,22139.105,22139.105,0.6719,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.010667991189477491,236.41595686,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4
BTC/USDT,22327.7548974,22327.7548974,0.65166,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.35079682236584836,7840.33797404,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1
BTC/USDT,29034.8637642,29034.8637642,0.64799,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.08895226397681284,2585.29958295,mv2:exit,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,mv2:enter,1.0,False,1613001600000,1614124800000,0.0,2
BTC/USDT,31252.7939973,31252.7939973,0.62913,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.12806154430521058,4006.28334421,mv2:exit,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,mv2:enter,1.0,False,1614211200000,1618790400000,0.0,0
