trade_id,amount,safe_price,ft_order_side,order_filled_timestamp,ft_is_entry,ft_order_tag,cost
,12.64,389.55,sell,1651449600000,True,calendar_fut:short,4926.373956
,12.64,295.47,buy,1652140800000,False,calendar_fut:short_exit,3736.6081704000003
,17.23,318.9,sell,1652227200000,True,calendar_fut:short,5497.3943235
,17.23,271.26,buy,1652313600000,False,calendar_fut:short_exit,4676.146704899999
,20.28,290.43,sell,1652486400000,True,calendar_fut:short,5892.8653602
,20.28,286.07,buy,1654905600000,False,calendar_fut:short_exit,5804.4003498
,26.19,222.99,sell,1655251200000,True,calendar_fut:short,5843.02815405
,26.19,216.69,buy,1656720000000,False,calendar_fut:short_exit,5677.94865555
,18.94,325.6,buy,1667260800000,True,calendar_fut:long,6169.947432
,18.94,326.97,sell,1667952000000,False,calendar_fut:short_exit,6195.908205900001
,12.36,303.85,buy,1668124800000,True,calendar_fut:long,3757.463793
,12.36,290.08,sell,1668211200000,False,calendar_fut:short_exit,3587.1814943999993
